Company,Sector,2011 Response status,2010 Response status,Carbon disclosure score,Carbon performance band,Non-Public,Total Emissions1,Scope 1,Scope 2,Scope 3,Scope 3 source type,,,,
Impala Platinum Holdings ,Materials ,AQ ,AQ ,80,C ,,3692977,584504,3108473,217449,Fu Wa Tr EC Oth ,,,,
Imperial Oil ,Energy ,AQ ,AQ ,59,C ,,11517000,10149000,1368000,-,,,,,
Imperial Tobacco Group ,Consumer Staples ,AQ ,AQ ,71,D ,,266544,112299,154245,-,,,,,
Indian Oil ,Energy ,DP ,DP ,-,-,,-,-,-,-,,,,,
Inditex ,Consumer Discretionary ,AQ ,AQ ,57,D ,,332472,22870,309602,41029,TI,,,,
Industrial and Commercial Bank of China ,Financials ,AQ ,AQ ,10,-,NP,-,-,-,-,-,,,,
Infosys Technologies ,Information Technology ,AQ(L) ,AQ ,,-,NP,-,-,-,-,,,,,
ING Group ,Financials ,AQ ,AQ ,64,D ,,276370,31587,244783,51243,Tr ,,,,
Inpex ,Energy ,AQ ,AQ ,62,C ,,411995,396091,15904,5594,TI EC,,,,
Intel ,Information Technology ,AQ ,AQ ,66,C ,,2878008,1165284,1712724,43595000,PGS TI Tr USP,,,,
International Business Machines (IBM) ,Information Technology ,AQ ,AQ ,83,B ,,2704276,578290,2125986,3134613,Tr EC Lu USP ,,,,
Intesa Sanpaolo S.p.A ,Financials ,AQ ,AQ ,68,C ,,119239,55444,63795,18390,Tr ,,,,
Israel Chemicals ,Materials ,AQ ,AQ ,90,B ,,2880617,1857777,1022840,48289,Fu Wa Tr Oth,,,,
Itaú Unibanco Holding ,Financials ,AQ ,AQ ,72,C ,,34195.6,3648.9,30546.7,28439.4,Fu TI Wa Tr Oth ,,,,
Itausa Investimentos Itau S.A. ,Financials ,AQ ,AQ(SA) ,77,C ,,547903,443011,104892,36355.38,Fu TI Wa Tr Oth ,,,,
ITC ,Industrials ,AQ ,AQ ,64,D ,,1463039,1307766,155273,583250,TI,,,,
Japan Tobacco ,Consumer Staples ,AQ ,AQ ,41,-,NP,-,-,-,-,-,,,,
Jardine Matheson ,Industrials ,DP ,NR ,-,-,,-,-,-,-,,,,,
Jardine Strategic ,Industrials ,DP ,DP ,-,-,,-,-,-,-,,,,,
JFE Holdings ,Materials ,NR ,AQ ,-,-,,-,-,-,-,,,,,
Johnson & Johnson ,Health Care ,AQ ,AQ ,78,C ,,1279804,345723,934081,296286,Tr ,,,,
Johnson Controls ,Consumer Discretionary ,AQ ,AQ ,83,B ,,1911629,562223,1349406,79785,Tr,,,,
JPMorgan Chase ,Financials ,AQ ,AQ ,81,B ,,1322231.5,96034.4,1226197.1,137804,Tr,,,,
Kansai Electric Power ,Utilities ,DP ,AQ ,-,-,,-,-,-,-,,,,,
KB Financial Group ,Financials ,AQ ,AQ ,73,C ,,39005,2303,36702,1659,PGS Fu Tr Oth,,,,
KDDI Group ,,AQ ,AQ ,34,-,,1108282,1034,1107248,-,,,,,
Kellogg Company ,Consumer Staples ,AQ ,AQ ,85,B ,,1343409,580482,762927,260000,TI ,,,,
Kimberly-Clark ,Consumer Staples ,AQ ,AQ ,70,C ,,5728814,2611787,3117027,648040,TI ,,,,
