Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
Slovakia,1973,10.41,18.55,4.87,7.67,
Slovenia,1973,1.70361461,2.817771661,1.857335078,1.035413845,
Solomon Islands,1973,,,,,
South Africa,1973,77.67,53.32,29.86,16.92,
Spain,1973,36.07,56.17,32.07,16.04,
Sri Lanka,1973,0.48,0.69,1.62,0.86,
Sudan,1973,0.2,1.72,2.44,0.25,
Suriname,1973,,,,,
Swaziland,1973,,,,,
Sweden,1973,8.45,25.61,15.02,34.93,
Switzerland,1973,2.33,9.83,9.89,20.92,
Syria,1973,1.34,1.35,1.71,1.05,
Taiwan,1973,14.3,16.57,3.67,4.9,
Tajikistan,1973,,,,,
Tanzania,1973,0.3,0.45,0.8,0.24,
Thailand,1973,4.52,5.36,7.12,3.75,
Togo,1973,0.07,0,0.2,0.04,
Tonga,1973,,,,,
Trinidad & Tobago,1973,4.23,0.99,1.11,0.18,
Tunisia,1973,1.09,1.1,1.05,0.93,
Turkey,1973,12.33,11.72,13.68,14.66,
Turkmenistan,1973,,,,,
Uganda,1973,,,,,
Ukraine,1973,,,,,
United Arab Emirates,1973,0.53,1.92,0.76,0,
United Kingdom,1973,272.14,161.35,81.25,121.92,
United States of America,1973,1664.17,966.56,1200.35,866.58,
Uruguay,1973,1.16,1.47,1.78,0.91,
Uzbekistan,1973,,,,,
Vanuatu,1973,,,,,
Venezuela,1973,30.1,14.51,14.42,3.58,
Vietnam,1973,2.1,0.03,2.77,12.48,
Yemen,1973,0.44,0,1.23,0.17,
Zambia,1973,0.41,2.74,0.73,0.32,
Zimbabwe,1973,1.24,3.19,2.24,1.33,
World,1973,5166.68,4166.43,2633.2,3095,
European Union (15),1973,1088.72,914.48,434.06,823.87,
European Union (28),1973,1408.135904,1137.200773,501.1808324,1002.655479,
Afghanistan,1974,,,,,
Albania,1974,0.81,1.13,0.82,1.38,
Algeria,1974,4.17,2.35,3.25,2.66,
Angola,1974,0.51,0.39,1.29,0.13,
Antigua & Barbuda,1974,,,,,
Argentina,1974,28.66,17.28,26.32,15.34,
Armenia,1974,,,,,
Australia,1974,76.19,47.42,38.76,10.93,
Austria,1974,11.07,16.11,10.47,13.61,
Azerbaijan,1974,,,,,
Bahamas,1974,,,,,
Bahrain,1974,2.78,2.06,0.27,0.04,
Bangladesh,1974,1.08,1.9,0.49,0.96,
Barbados,1974,,,,,
Belarus,1974,,,,,
Belgium,1974,41.28,44.17,12.43,32.69,
Belize,1974,,,,,
Benin,1974,0.01,0.01,0.32,0.08,
Bhutan,1974,,,,,
Bolivia,1974,0.45,0.54,1.24,0.5,
Bosnia & Herzegovina,1974,2.338509488,6.041530776,1.773855638,2.856321227,
Botswana,1974,,,,,
Brazil,1974,13.97,41.33,61.44,10.89,
Brunei,1974,0.95,0.07,0.1,0.02,
Bulgaria,1974,24.98,10.72,4.6,27.36,
Burkina Faso,1974,,,,,
Burundi,1974,,,,,
Cambodia,1974,,,,,
Cameroon,1974,0.04,0.11,0.62,0.06,
Canada,1974,83.07,102.74,101.51,98.76,
Cape Verde,1974,,,,,
Central African Republic,1974,,,,,
Chad,1974,,,,,
Chile,1974,5.17,6.37,5.16,2.84,
China,1974,156.28,469.38,60.98,234.33,
Colombia,1974,6.58,10.25,8.51,5.42,
Comoros,1974,,,,,
Congo,1974,0.06,0.12,0.38,0.05,
"Congo, Dem. Republic",1974,0.08,0.83,0.53,1.2,
Cook Islands,1974,,,,,
Costa Rica,1974,0.27,0.31,0.9,0.08,
Cote d'Ivoire,1974,0.69,0.86,0.94,0.29,
Croatia,1974,3.412543284,6.825263572,3.91307827,2.059757534,
Cuba,1974,5.74,9.27,4.28,3.88,
Cyprus,1974,0.77,0.36,0.54,0.1,
Czech Republic,1974,41.72,65.64,6.03,32.88,
Denmark,1974,14.69,7.32,7.84,20,
Djibouti,1974,,,,,
Dominica,1974,,,,,
Dominican Republic,1974,2.34,0.77,1.65,0.17,
Ecuador,1974,1.2,0.73,2.22,1.07,
Egypt,1974,3.3,10.14,5,5.03,
El Salvador,1974,0.45,0.52,0.68,0.13,
Equatorial Guinea,1974,,,,,
Eritrea,1974,,,,,
Estonia,1974,,,,,
